Policlinic,Message
Onkoloji,Kol ve bacaklarımda açıklanamayan morluklar oluşuyor
Onkoloji,Kan tahlillerimde sürekli anormallikler çıkıyor
Onkoloji,Çene kemiğimde sert bir kitle fark ettim
Onkoloji,Ağız içinde beyaz renkli lezyonlar oluştu
Onkoloji,Nefes alırken zorluk yaşıyorum
Onkoloji,Damarlarımda ağrılı şişlikler
Onkoloji,Cildimde kabaran ve kaşınan bir ben büyüyor
Onkoloji,karnım bölgemde düğüm gibi bir sertlik hissediyorum
Onkoloji,Yüzümde sürekli bir şişlik fark ediyorum
Onkoloji,Balgamda kan görüyorum
Onkoloji,Cildimde hızla büyüyen kırmızı bir leke oluştu
Onkoloji,İki haftadır yemek yerken çiğneme güçlüğü yaşıyorum
Onkoloji,Lenf bezlerimde sürekli büyüme
Onkoloji,Dizlerimde ve kalçamda ağrılar giderek şiddetleniyor
Onkoloji,Göğsümde basınç hissiyle uyanıyorum
Onkoloji,Dışkılama sırasında sürekli ağrı yaşıyorum
Onkoloji,Cildimde asimetrik bir leke büyüyor
Onkoloji,İdrarımda pıhtılaşmış kan görüyorum
Onkoloji,Kemoterapi sonrası sürekli mide yanması hissediyorum
Onkoloji,Dudak kenarımda iyileşmeyen bir yara
Onkoloji,Sürekli baş dönmesi ve bulantı hissediyorum
Onkoloji,Vücudumda şişliklerle birlikte ağrılar başladı
Onkoloji,Nefes alırken göğsümde keskin bir ağrı oluşuyor
Onkoloji,Kan testlerinde sürekli anemi tespit ediliyor
Onkoloji,Göğsümde hassasiyet ve sürekli bir dolgunluk hissediyorum
Onkoloji,Uzun süredir geçmeyen ağız yaralarım
Onkoloji,Karaciğer ultrasonunda kitle tespit edildi
Onkoloji,Lenf bezlerimde belirgin bir ağrısız büyüme oluştu
Onkoloji,Kemoterapi sonrası cildimde soyulmalar başladı
Onkoloji,İdrarımda kötü bir koku ve ağrı hissediyorum
Onkoloji,Göz çevremde belirgin bir ödem oluştu
Onkoloji,Dışkımda sürekli kan fark ediyorum
Onkoloji,Karnımda ele gelen hareketli bir kitle
Onkoloji,Koltuk altımda büyüyen ve hassas bir şişlik hissediyorum
Onkoloji,Kemoterapi sonrası tat alma duyumda kayıp yaşıyorum
Onkoloji,Cildimde kabaran ve kanayan bir yara iyileşmiyor
Onkoloji,Boynumda sürekli büyüyen bir yumru fark ettim
Onkoloji,Cildimde kabuk bağlayan bir yara ve iyileşmiyor
Onkoloji,Göğsümde hızla büyüyen bir sertlik oluştu
Onkoloji,Lenf bezlerim sert ve ağrısız bir şekilde büyüdü
Onkoloji,Cildimde aniden oluşan siyah bir leke fark ettim
Onkoloji,Göz çevremde belirgin sarı bir renk oluştu
Onkoloji,Nefes alırken sürekli hırıltı ve baskı hissediyorum
Dermatoloji,Cildimde kızarıklık
Dermatoloji,Yüzümde sivilceler oluştu
Dermatoloji,Ellerimde kuruluk
Dermatoloji,Saç derimde kaşıntı
Dermatoloji,Tırnaklarımda sararma oldu
Dermatoloji,Cildim çok kaşınıyor
Dermatoloji,Vücudumda döküntüler çıktı
Dermatoloji,Cildimde beyaz lekeler
Dermatoloji,Cildim sürekli soyuluyor
Dermatoloji,Güneşe çıkınca cildim yanıyor
Dermatoloji,Cildimde kabarcıklar oluştu
Dermatoloji,Elimde su toplaması
Dermatoloji,Yüzümde izler oluştu
Dermatoloji,Cildimde kahverengi bir leke çıktı
Dermatoloji,Ayak tırnağımda mantar
Dermatoloji,Bacağımda kabuklanma oluştu
Dermatoloji,Cildim kuru ve çatlıyor
Dermatoloji,Sırtımda sivilceler çıktı
Dermatoloji,Cildimde kaşıntılı kabartılar
Dermatoloji,Cildimde pullanma oluşuyor
Dermatoloji,Dizimde bir yara iyileşmiyor
Dermatoloji,Tırnaklarım kırılgan hale geldi
Dermatoloji,Cildimde aniden bir ben çıktı
Dermatoloji,Boynumda kaşıntılı döküntüler
Dermatoloji,Cildimde morarma oldu
Dermatoloji,Elimde egzama oluştu
Dermatoloji,Cildimde şişlik
Dermatoloji,Cildimde beyaz kabuklanmalar
Dermatoloji,Yüzümde kızarıklık
Dermatoloji,Cildimde çatlaklar oluştu
Dermatoloji,Cildim sürekli kaşınıyor
Dermatoloji,Avuç içimde döküntüler
Dermatoloji,Ayak tabanımda yara çıktı
Dermatoloji,Cildimde kepeklenme oluştu
Dermatoloji,Ellerimde egzama
Dermatoloji,Yüzümdeki lekeler artıyor
Dermatoloji,Cildimde şiddetli kaşıntı
Dermatoloji,Cildim ince ve hassas hale geldi
Dermatoloji,Dizimde kırmızı bir leke oluştu
Dermatoloji,Tırnaklarımda beyaz çizgiler oluştu
Dermatoloji,Cildimde pütürlü bir yapı oluştu
Dermatoloji,Ellerimde açık yaralar
Dermatoloji,Cildimde sert bir kitle fark ettim
Dermatoloji,Yüzümde kuruluk
Dermatoloji,Cildimde güneş yanığı oluştu
Dermatoloji,Cildimde şiddetli tahriş
Dermatoloji,Ellerimde sürekli kaşıntı
Dermatoloji,Cildimde kahverengi bir kabarcık çıktı
Dermatoloji,Sırtımda döküntüler oluştu
Dermatoloji,Yüzümde çatlaklar
Dermatoloji,Cildimde bir yara sürekli büyüyor
Dermatoloji,Ayak tırnağım kalınlaştı ve sarardı
Dermatoloji,Bacaklarımda kaşıntı
Dermatoloji,Cildimde küçük kabarcıklar oluştu
Dermatoloji,Boynumda beyaz lekeler çıktı
Dermatoloji,Cildimde pürüzler oluştu
Dermatoloji,Tırnaklarım renk değiştirdi
Dermatoloji,Cildimde bir alan sürekli kızarık
Dermatoloji,Ellerimde deri dökülüyor
Dermatoloji,Cildimde küçük siyah noktalar oluştu
Dermatoloji,Cildimde sürekli tahriş oluyor
Dermatoloji,Yüzümde kırmızı çizgiler oluştu
Dermatoloji,Cildim güneşe hassas hale geldi
Dermatoloji,Cildimde kaşıntılı izler oluştu
Dermatoloji,Saç derimde yaralar
Dermatoloji,Cildimde şiddetli kaşınma
Dermatoloji,Ayak tabanımda pullanma oluştu
Dermatoloji,Cildimde su dolu kabarcıklar
Dermatoloji,Yüzümde sivilceler büyüyor
Dermatoloji,Cildimde ince damarlar görünüyor
Dermatoloji,Dizimde kırmızı şişlik oluştu
Dermatoloji,Boynumda tahriş
Dermatoloji,Cildimde sürekli yanma hissi
Dermatoloji,Sırtımda küçük lekeler oluştu
Dermatoloji,Ellerimde pütürlü bir yapı
Dermatoloji,Cildimdeki ben büyüdü
Dermatoloji,Ayak tırnağım kalınlaştı
Dermatoloji,Cildimde aniden kabarma oldu
Dermatoloji,Cildimde ince çatlaklar oluştu
Dermatoloji,Ellerimde beyaz çizgiler çıktı
Dermatoloji,Cildimde su toplaması oldu
Dermatoloji,Tırnaklarım sarardı
Dermatoloji,Cildimde kırmızı kabartılar
Dermatoloji,Cildimde sürekli çatlak oluşuyor
Dermatoloji,Yüzümde tahriş
Dermatoloji,Cildimde kuruluk ve kaşıntı arttı
Dermatoloji,Cildimde sert kabuklar oluştu
Dermatoloji,Yüzümde leke oluştu
Dermatoloji,Ellerimde kaşıntılı döküntü
Dermatoloji,Cildimde kırmızı şeritler oluştu
Dermatoloji,Cildimde ani bir hassasiyet oluştu
Dermatoloji,Saç derimde kepeklenme arttı
Dermatoloji,Cildimde sürekli kızarıklık oluşuyor
Dermatoloji,Ayak tırnağım enfekte oldu
Dermatoloji,Cildimde tahriş nedeniyle kızarıklık
Dermatoloji,Ellerimde kabarcıklar oluştu
Dermatoloji,Cildimde beyaz kabuklanma arttı




